# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
PWY-7110: superpathway of megalomicin A biosynthesis	0	0	1.1313060624	0	2.2232250241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7110: superpathway of megalomicin A biosynthesis|unclassified	0	0	1.1313001368	0	2.2232247594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)	5513.7229746464	10674.9343980309	6173.4278644358	5059.4143078774	11725.2848504313	4392.6291299157	5649.4765811180	6017.2330730622	6152.6767586193	4642.8131600181	5937.7811573082	4444.4515309212	5572.9209594168	4633.0077659473	5574.3836284151	7002.5723203636	7624.6612436748	6207.5252298767	6381.5377807404	4344.2622644952	5930.6963298094	13033.6900856441	4861.5913431341	4972.0581190199	5355.0427080200	4060.0470733384	4470.1274577014	3511.0718803960	5351.2019364482	5346.1176188807	6567.5304149728	10441.2403891894	4749.2890932470	4649.3990603644	6410.4090173769	3776.8407015023	7432.8893883237	5685.9753670369	7253.4347662106	3804.6200123412	5877.0802396529	3376.9302509288	4871.0842005524
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Achromobacter.s__Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2327971189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1217638583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.3264205995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9880109239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7741654604	15.2173667154	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Allochromatium.s__Allochromatium_vinosum	0	0	0	0	0	0	0	2.0333116656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.5652993566	15.7002407972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacillus.s__Bacillus_megaterium	0	0	0	0	1.0429212367	0	0	0	0	0	0	0	0	0.8247422680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9253988467	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	27.6013580117	0	0	0	0	0	0	51.6188576288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8433055854	42.4084893687	0	55.8885691326
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Candidatus_Accumulibacter.s__Candidatus_Accumulibacter_phosphatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6237403455	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5361810252	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Caulobacter.s__Caulobacter_vibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7927232398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9611693085	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Cetobacterium.s__Cetobacterium_somerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8721247138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Clostridium.s__Clostridium_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1041231755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Clostridium.s__Clostridium_carboxidivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0014916905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1490756956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8138401566	3.2739193838	1.0798042695	41.8535893075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Comamonas.s__Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6048061196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Dechloromonas.s__Dechloromonas_aromatica	14.5901085156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Desulfobacter.s__Desulfobacter_postgatei	1.6144221714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Desulfomicrobium.s__Desulfomicrobium_baculatum	0	0	0	0	0	0	0	1.4144271570	2.7039830838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1412682492	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7490485286	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Desulfotignum.s__Desulfotignum_phosphitoxidans	0	0	0	0	0	0	0	6.6360569561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Desulfovibrio.s__Desulfovibrio_africanus	0	0	0	0	0	0	0	0	16.0669056891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Desulfovibrio.s__Desulfovibrio_magneticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9372384760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4712553756	0	0	0	0	0	0	0	0	0	0	0	1.9766914329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Geobacter.s__Geobacter_lovleyi	2.4691866088	0	1.2238029677	0	0	0	1.1666909727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Geobacter.s__Geobacter_uraniireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8025220000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	0	59.3790480128	0	90.6254311986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Gillisia.s__Gillisia_limnaea	0	0.8840324926	0	0	0	40.2676548074	0	0	13.8125308215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.1716358273	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Halomonas.s__Halomonas_boliviensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5971662935	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Halomonas.s__Halomonas_titanicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5302050969	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Hyphomicrobium.s__Hyphomicrobium_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6325895174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Intrasporangium.s__Intrasporangium_calvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3951350914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Janthinobacterium.s__Janthinobacterium_lividum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8492782547	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9026609047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Labrenzia.s__Labrenzia_aggregata	0	0	0	0	0	0	0	0	0	0	0	2.8119675982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8814174792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	0	0	0	0	0	0	0	2.8663113586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	24.4323946929	0	18.1035226721	0	0	0	0	0	0	20.9822072318	0	22.1635453242	0	0	0	0	0	0	0	0	0	0	11.2221392833	0	0	0	0	0	0	0	0	0	37.9737343154	0	0	19.4880262830	21.9859574070	0	37.5490744728
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methanocella.s__Methanocella_paludicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2080942314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8754588703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methanosaeta.s__Methanosaeta_concilii	8.5299336060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methanosaeta.s__Methanosaeta_harundinacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7230657990	0	1.0857228989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1012987285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methanosarcina.s__Methanosarcina_barkeri	0	3.8770707140	0	0	4.9813359113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methylocystis.s__Methylocystis_rosea	0	0	0	0	0	0	0	0	0	0	1.4700778150	0	0	0	0	0	0	0	0	0	0	0.9548881757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Microcystis.s__Microcystis_aeruginosa	0.9238683815	0	0	0	0	0	3.6760864149	0	0	0	0	0	0	3.6766689667	6.3573845903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Micromonospora.s__Micromonospora_lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2850911155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Mycobacterium.s__Mycobacterium_vaccae	0	0	0	0	15.7188772816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2098579612	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5547579217
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Nitrospira.s__Candidatus_Nitrospira_defluvii	0.8623787280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4670427218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Nocardioidaceae_noname.s__Nocardioidaceae_bacterium_Broad_1	0	0	0	0	0	0	15.0210959392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Nodularia.s__Nodularia_spumigena	0	0	0	0	0	0	0	2.3811886100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Nostoc.s__Nostoc_punctiforme	0	0	2.6805944664	0	0	0	0	0	0	0	0	0	0	3.1347371500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Oscillatoria.s__Oscillatoria_acuminata	0	9.1317443355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4708416723	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Peptostreptococcaceae_noname.s__Clostridium_sticklandii	0.9182502336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.6341971682	33.2286998285	0	0	0	0	25.2561358850	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Pseudomonas.s__Pseudomonas_mandelii	0	0	0	0	0	0	0	0	13.5555718618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6031741102	0	4.6369144590	0	11.3240298918	0	0	0	0	0	0	0	4.3097586240	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Pseudomonas.s__Pseudomonas_putida	3.4352667006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2857309132	0	0	0	0	0	0	0	0	0	0	0	6.0834976714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Pseudomonas.s__Pseudomonas_stutzeri	0	4.5441183000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3465036568	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Psychrobacter.s__Psychrobacter_aquaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3549707484	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1045043096	0	7.5542648190	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1549331845	0	1.1357767958	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Rhizobium.s__Rhizobium_giardinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9114115263	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Rhizobium.s__Rhizobium_leguminosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1365116203	3.4542889935	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Rhodanobacter.s__Rhodanobacter_fulvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6926778555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Rhodococcus.s__Rhodococcus_erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0919265679	0	0.9007994595
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Rhodonellum.s__Rhodonellum_psychrophilum	0	0.8943877171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8633858096	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	11.9831654929	0	39.5764374833	0	56.2387877515	0	15.2053232176	0	21.8342556255	23.1249662517	16.9152450856	0	15.8420424596	14.6649616446	27.1674844828	34.9921993250	150.4020543737	0	0	0	0	77.5425524047	29.0655340593	68.4580984538	65.2881685166	0	47.2761846631	0	0	0	52.5273655811	25.8666045636	0	31.9829022094	31.7869968074	0	45.6622972248	0	31.6127920193	16.5452888858	39.7808468345	35.3805403551	46.7329528975
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Sideroxydans.s__Sideroxydans_lithotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2608981869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Sorangium.s__Sorangium_cellulosum	0	1.8819206996	2.3687853737	0	10.4678788590	0	0	0	1.8683663314	1.1688254793	2.8770738067	0	0	0	0	0	0	0	0	0	0	0	2.6200422423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0909659977	2.2890351033	3.6124343220	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9651095562	15.4620882390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Streptomyces.s__Streptomyces_chartreusis	0	0	5.5784734094	0	4.7033985321	0	3.5185219520	0	0	0	0	0	0	0	1.5131323106	0	0	0	0	0	0	0	1.0241625243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3399321939	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Sulfuricella.s__Sulfuricella_denitrificans	0	0	0	0	0	0	0	0	0	5.6894717871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6534991368	1.9733690218	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Sulfuricurvum.s__Sulfuricurvum_kujiense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0581637332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.8400141348	10.8056436471	74.6327905800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Thauera.s__Thauera_aminoaromatica	11.1144055618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Thiobacillus.s__Thiobacillus_denitrificans	6.7732461998	45.1992091046	0	0	0	0.7005030395	0	0.7314026919	4.5867454535	0	0	0	6.1803390746	0	3.5525710383	3.3999081413	1.4499504863	4.6824561617	2.7983251010	0	0	1.4651695466	0	0	0	0	0	4.6197138301	0	19.2332372470	3.4460659179	0	21.0248776080	6.8926232095	25.2959712946	30.2204489982	2.0273116842	2.8957400974	2.6446769545	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Thiocapsa.s__Thiocapsa_marina	0	0	0	0	0	0	0	13.4604432614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.5932471213	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	5251.8748002610	10491.5788895902	5935.0578511978	5053.3510260763	11331.8690396196	4320.0912562777	5456.9837678217	5948.8072965459	6010.9298685137	4587.1465743664	5879.7525750323	4431.8127673936	5482.9585430058	4445.7588654016	5192.8118280953	6247.3411587099	7197.7080782730	6117.6803191598	6259.7583146785	4326.7021768459	5836.4881403511	12783.6360289748	4759.9414503600	4830.6830237257	5186.7104772924	4054.6723457127	4294.3397393425	3450.6394763076	5347.0550445953	5232.2278952448	6207.9845881523	10278.1097613517	4657.9631785967	4567.6562016770	6268.9070742821	3699.4574010333	7222.7340270561	5598.2516465213	7089.0976376575	3702.6211162894	5642.5829285727	3288.5569032099	4592.0176929682
PWY-7112: 4-hydroxy-2-nonenal detoxification	2.9036132538	0	0.4849394004	0	0	0	0	0	0	0	0	0	0	0	0	1.0605322924	0	0	0	0	0.8774391904	0	0	0	0	0	0	0.4588592575	0	0	1.4964088842	0.6272967149	0	0	0	0	0	0	0	0.7671092567	0	0	0
PWY-7112: 4-hydroxy-2-nonenal detoxification|unclassified	2.9036059833	0	0.4849391819	0	0	0	0	0	0	0	0	0	0	0	0	1.0605258901	0	0	0	0	0.8774391904	0	0	0	0	0	0	0.4588588828	0	0	1.4964075206	0.6272967149	0	0	0	0	0	0	0	0.7671066859	0	0	0
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	520.0061616096	1215.4335329320	544.4486890033	284.1447300005	570.0336593773	273.5076220433	378.8934003656	293.1291533395	397.7878871259	273.2408551404	310.0583946443	274.9329183018	474.9711323884	353.6518072408	654.3004924905	792.0079398528	497.4650227414	445.1847415572	427.3057261409	341.1088244925	406.2406208000	891.5016777652	332.4300968536	310.6465053577	280.3453396708	228.4362879932	225.7211655314	238.8437338350	256.4462312309	569.7177334869	785.8790624301	754.0830680384	434.2962761232	414.8203250940	411.9371571085	256.2733499765	463.9770961391	624.8496184481	807.6797452103	250.1020620916	424.8819941850	230.6384045832	341.4809730734
